N,P,K,temperature,humidity,ph,rainfall,label
27.6,18.24,41.3,36.06,91.38,6.85,128.82,pomegranate
77.75,42.61,51.47,36.5,83.03,6.65,241.74,jute
39.78,152.63,200.12,28.64,81.52,5.63,55.1,grapes
14.26,73.92,88.01,26.23,38.84,6.43,94.09,kidneybeans
61.77,31.74,59.89,27.7,92.48,6.17,112.61,papaya
25.49,67.42,48.08,25.08,26.51,7.21,68.02,lentil
98.56,75.33,77.11,38.02,92.69,5.66,177.59,banana
82.94,48.96,43.45,24.4,84.93,6.51,262.86,rice
63.11,59.23,59.59,30.47,88.04,5.96,272.07,rice
11.07,69.92,66.18,28.76,34.01,4.84,47.81,mothbeans
26.8,47.41,69.31,36.75,39.45,4.03,69.27,mothbeans
34.45,71.12,52.83,23.38,80.88,6.9,48.42,mungbean
73.45,48.83,74.91,36.75,90.3,6.13,171.51,jute
118.87,90.5,51.64,32.04,96.45,5.96,119.27,banana
32.71,28.2,33.34,36.76,71.6,5.67,141.02,mango
91.34,47.94,73.7,35.56,80.78,5.66,99.28,watermelon
18.68,26.51,192.99,6.3,94.91,6.42,179.35,apple
87.33,52.28,85.54,26.42,64.42,6.68,109.48,maize
102.4,65.28,35.0,35.13,59.18,6.01,72.26,cotton
11.56,121.03,235.69,25.65,80.65,5.85,120.28,grapes
28.01,31.7,176.37,3.53,90.0,6.72,108.76,apple
25.5,46.4,56.09,37.37,46.55,5.72,57.05,mothbeans
37.98,50.6,24.61,28.29,25.92,6.85,56.52,lentil
30.91,65.95,38.26,22.81,86.36,6.8,38.97,mungbean
25.37,87.21,71.67,11.7,32.62,5.61,62.85,chickpea
133.95,64.94,34.45,30.91,77.93,7.17,63.55,cotton
110.83,14.41,41.1,28.38,91.35,6.82,48.43,muskmelon
32.1,75.32,36.08,30.58,87.01,6.88,50.41,mungbean
26.37,67.19,60.42,36.63,44.38,6.26,83.72,pigeonpeas
11.8,79.52,73.22,21.02,58.35,5.48,94.7,pigeonpeas
18.28,74.03,56.5,29.71,50.44,6.31,60.63,pigeonpeas
94.07,31.63,50.84,21.62,99.83,6.49,245.25,coffee
25.06,23.65,45.07,26.12,66.41,6.59,99.84,mango
18.2,22.54,22.76,25.72,92.77,7.48,173.23,orange
98.5,37.55,44.92,24.51,84.27,5.56,241.43,rice
87.6,69.14,43.35,38.42,82.52,6.39,235.14,jute
18.5,62.01,44.36,15.21,30.88,7.0,61.95,lentil
28.01,44.69,161.68,19.46,93.04,6.96,137.36,apple
29.55,89.54,82.63,24.67,30.64,6.57,87.97,kidneybeans
23.45,28.62,14.92,24.42,91.37,7.24,100.53,orange
19.47,51.71,43.0,25.53,22.62,7.01,45.84,lentil
84.35,68.51,79.95,29.95,85.98,6.86,249.86,jute
31.15,58.21,50.03,35.07,81.7,6.22,68.96,mungbean
94.6,27.3,64.93,25.19,85.04,5.77,107.4,watermelon
99.2,44.78,39.86,29.5,83.6,5.61,169.33,rice
20.63,44.21,36.67,29.35,86.08,6.45,32.89,mungbean
31.08,196.48,217.19,22.79,84.77,6.46,75.87,grapes
80.42,44.47,58.05,24.06,92.01,6.19,44.98,muskmelon
19.5,15.16,31.13,33.42,83.45,5.44,230.77,coconut
83.53,101.07,73.9,27.73,85.76,5.75,170.66,banana
114.54,36.15,43.19,20.4,82.98,6.48,210.65,coffee
114.43,57.66,47.67,19.71,87.3,6.44,155.89,coffee
31.81,198.46,190.9,16.35,81.06,6.69,68.08,grapes
35.28,72.53,101.56,28.38,31.88,6.86,95.09,kidneybeans
12.98,76.06,102.0,14.08,28.43,6.6,84.64,chickpea
15.7,51.17,31.75,27.04,22.87,6.67,57.02,lentil
37.53,76.62,38.76,27.12,15.79,6.5,42.55,lentil
14.82,14.74,150.68,7.58,93.49,6.69,129.58,apple
36.12,65.26,45.98,22.08,86.06,6.32,46.86,mungbean
36.72,24.37,32.19,36.03,87.4,7.54,220.15,coconut
17.54,42.65,199.41,9.72,90.24,6.7,160.44,apple
37.76,55.96,46.21,37.94,73.74,7.03,73.08,blackgram
28.75,62.87,54.98,36.31,80.12,6.87,32.59,mungbean
18.44,29.07,31.61,34.8,87.98,6.43,144.7,coconut
66.97,50.73,41.6,34.05,82.06,6.01,167.02,rice
31.29,120.59,216.27,9.39,82.85,6.88,122.79,grapes
25.02,19.12,40.33,34.63,91.39,7.56,294.57,coconut
35.76,69.93,43.18,30.99,81.6,6.87,38.96,mungbean
127.75,41.49,57.31,39.29,84.18,6.08,74.26,cotton
24.5,79.61,42.64,18.73,28.0,7.49,64.3,lentil
64.54,50.15,45.61,31.58,87.8,6.78,232.79,rice
11.51,62.92,86.11,19.43,25.44,5.92,112.14,kidneybeans
138.77,52.98,46.3,43.18,76.37,6.74,95.65,cotton
70.61,37.32,59.19,25.9,93.38,6.45,269.22,rice
28.34,29.57,167.1,23.11,90.12,6.37,154.89,apple
107.31,67.04,53.17,26.33,96.55,6.18,240.02,coffee
46.38,60.64,23.61,37.14,67.72,6.56,68.91,blackgram
39.1,59.03,62.92,25.34,30.63,6.07,51.57,mothbeans
24.53,125.09,218.62,39.12,84.98,6.15,77.42,grapes
31.14,56.91,40.4,27.16,82.64,6.41,54.15,mungbean
82.83,40.01,48.85,26.11,99.48,6.22,159.07,coffee
29.52,36.0,47.88,38.72,52.85,6.59,171.46,mango
73.91,70.34,76.97,22.54,76.36,7.09,99.51,maize
25.22,61.66,75.93,29.73,39.09,5.51,98.07,chickpea
17.27,18.28,36.98,32.4,93.09,7.14,215.99,coconut
13.87,68.38,61.36,35.87,42.48,5.16,35.5,mothbeans
36.71,63.18,99.26,17.81,45.46,6.73,101.63,kidneybeans
29.74,99.98,71.93,29.54,24.58,6.81,91.3,chickpea
12.38,66.98,47.24,20.94,21.7,6.22,36.06,lentil
119.17,12.94,51.36,27.89,91.24,6.38,52.72,muskmelon
106.76,43.29,62.95,31.46,93.18,6.3,27.3,muskmelon
70.68,53.2,71.84,33.76,82.21,6.63,168.67,jute
75.06,18.07,43.13,40.76,94.18,6.16,185.43,papaya
77.15,62.75,54.87,27.91,94.58,6.42,248.14,jute
4.64,19.03,18.16,27.19,91.25,6.96,187.75,orange
119.26,38.46,56.73,35.18,95.0,6.71,50.47,muskmelon
22.97,41.25,37.79,20.61,88.79,6.44,57.87,mungbean
6.58,27.16,182.61,18.18,90.0,6.91,116.45,apple
112.37,59.27,34.78,28.15,68.68,6.14,99.93,cotton
3.1,27.26,161.5,12.9,91.27,6.91,190.59,apple
21.38,192.87,223.07,23.24,84.67,5.57,69.72,grapes
88.2,38.62,72.36,31.24,92.53,6.03,22.77,muskmelon
16.14,63.65,35.58,25.97,88.55,6.41,33.56,mungbean
98.87,20.76,42.24,30.54,90.26,6.55,32.29,muskmelon
19.5,23.07,29.12,10.08,91.24,7.39,193.21,orange
34.14,62.09,67.76,31.15,31.06,3.67,42.32,mothbeans
13.4,165.61,240.33,25.65,84.97,6.52,60.19,grapes
90.85,50.75,68.86,16.45,84.24,6.24,295.29,coffee
126.21,39.16,20.47,29.72,62.66,7.01,108.32,cotton
93.35,93.17,75.56,33.54,90.79,6.28,105.12,banana
35.15,72.2,54.69,36.79,85.44,6.4,60.84,mungbean
40.96,22.52,72.79,36.08,92.25,6.29,129.8,papaya
115.46,48.11,32.6,27.41,89.67,6.17,177.22,coffee
81.57,70.87,70.98,27.02,86.69,6.41,142.84,banana
26.41,18.67,18.24,10.89,92.49,6.83,155.88,orange
27.36,28.55,45.63,35.25,75.03,5.61,172.23,mango
87.84,42.27,35.2,22.35,83.75,6.32,257.19,rice
97.11,38.06,57.38,30.68,93.8,6.17,33.54,muskmelon
119.54,43.49,32.82,26.59,89.82,6.3,164.35,coffee
29.53,81.82,72.49,20.25,34.97,6.19,62.08,chickpea
113.92,46.81,57.97,32.58,93.71,6.7,55.63,muskmelon
26.27,74.84,70.92,27.52,65.08,6.36,87.38,pigeonpeas
26.52,47.01,20.71,35.69,79.62,5.34,69.26,blackgram
35.7,151.68,193.94,23.72,81.93,6.87,108.34,grapes
82.6,68.74,54.06,20.43,94.03,6.38,266.99,coffee
18.06,51.5,49.7,37.43,86.04,6.28,33.78,mungbean
134.73,32.22,27.8,40.66,57.4,7.71,64.59,cotton
30.22,70.4,83.81,28.76,27.3,6.2,115.61,kidneybeans
72.38,58.51,61.36,27.49,83.28,6.24,200.25,jute
50.15,57.34,47.13,35.44,76.36,5.14,60.28,blackgram
81.95,50.76,49.56,23.36,90.68,5.86,198.81,rice
29.46,78.64,24.54,22.16,29.65,6.87,46.06,lentil
47.29,47.69,70.2,29.16,91.69,6.81,169.57,papaya
10.3,126.78,236.53,36.54,84.58,6.78,102.82,grapes
11.3,39.23,40.69,38.85,91.84,5.52,168.92,pomegranate
12.25,13.31,55.34,38.69,93.46,6.97,136.65,pomegranate
38.35,99.47,51.35,21.01,52.71,5.37,74.56,pigeonpeas
36.84,141.41,208.74,41.25,84.48,6.53,115.13,grapes
39.64,78.16,97.53,17.11,33.54,5.54,100.22,kidneybeans
47.1,52.85,41.94,35.54,67.2,7.08,81.61,blackgram
31.58,65.06,51.47,35.56,42.39,5.3,60.89,pigeonpeas
28.62,68.05,85.81,15.59,33.22,6.31,89.11,kidneybeans
69.7,38.08,41.32,20.3,84.83,5.82,199.12,rice
31.97,16.99,46.26,33.41,56.32,5.97,159.08,mango
104.94,37.89,62.22,20.89,94.53,6.05,209.4,coffee
30.58,195.9,198.76,38.02,80.28,6.31,59.94,grapes
84.14,51.67,62.31,33.23,83.31,6.4,184.34,jute
39.05,91.95,81.71,29.6,29.65,6.37,89.92,chickpea
12.67,70.87,73.04,35.06,63.37,6.26,80.56,pigeonpeas
36.81,180.54,203.24,35.54,80.76,5.7,79.19,grapes
26.72,59.32,58.39,35.51,47.5,5.32,64.09,mothbeans
35.91,69.21,36.33,27.85,75.64,5.68,96.17,blackgram
25.27,75.84,45.98,15.15,34.23,6.69,69.55,lentil
10.39,23.09,24.19,24.65,91.79,6.87,134.23,orange
29.07,60.68,24.46,23.95,35.17,6.57,35.29,lentil
35.53,18.58,42.81,29.03,78.74,5.57,153.78,mango
20.39,63.23,47.87,29.26,28.78,6.77,44.55,mothbeans
37.45,81.32,76.32,25.44,43.38,5.98,114.29,kidneybeans
24.04,26.42,161.5,10.15,94.13,5.84,152.44,apple
10.09,16.07,33.26,32.2,90.16,7.62,249.84,coconut
37.54,71.2,104.33,19.38,47.14,6.63,112.2,kidneybeans
86.57,46.42,57.31,27.16,90.97,6.12,152.31,jute
17.81,46.38,34.81,21.27,81.86,6.86,74.08,mungbean
85.54,61.93,68.23,34.73,62.28,7.29,73.8,maize
26.33,98.26,76.6,21.39,54.2,6.94,74.89,pigeonpeas
80.69,49.76,61.74,31.58,94.77,6.16,27.57,muskmelon
20.17,57.14,53.42,34.55,26.77,5.23,44.8,mothbeans
78.13,65.73,73.22,24.81,66.79,5.81,70.92,maize
14.6,21.0,37.47,26.42,73.95,6.91,110.94,mango
31.23,62.49,75.89,15.12,38.19,6.17,85.37,kidneybeans
25.29,163.66,205.16,11.01,80.97,6.93,83.61,grapes
106.71,58.93,58.81,21.96,95.95,6.3,197.18,coffee
96.53,45.34,45.05,31.97,89.75,6.55,269.37,rice
21.73,49.37,36.59,37.28,86.16,6.76,50.79,mungbean
27.12,19.69,46.5,32.41,88.48,7.15,121.93,coconut
37.28,55.7,44.64,23.17,16.02,7.43,39.88,lentil
21.84,76.87,86.44,28.61,40.85,6.41,92.37,kidneybeans
71.07,67.77,87.37,21.58,68.69,6.76,103.99,maize
33.61,73.37,76.44,30.3,64.67,6.09,68.74,pigeonpeas
36.37,82.87,90.7,21.46,28.14,6.15,110.96,kidneybeans
15.32,81.8,109.39,28.75,15.12,5.75,65.27,chickpea
24.14,66.29,53.31,28.56,56.36,6.52,38.2,mothbeans
42.25,63.39,20.49,35.46,65.6,7.22,99.68,blackgram
119.89,68.12,46.63,22.01,82.21,6.97,83.02,cotton
115.01,29.47,47.39,15.31,95.28,6.29,243.84,coffee
11.47,135.28,235.34,24.8,81.51,6.08,114.81,grapes
22.17,57.06,63.72,35.15,59.84,3.55,47.76,mothbeans
10.78,29.01,168.18,16.03,94.51,5.75,138.14,apple
14.15,19.92,24.64,12.19,93.34,7.34,105.78,orange
23.08,33.87,166.86,6.56,90.61,6.26,158.53,apple
97.97,29.73,51.94,26.54,90.24,6.2,43.28,muskmelon
98.73,44.47,60.16,34.94,92.94,6.84,31.38,muskmelon
30.36,57.48,56.59,37.75,28.56,4.71,56.91,mothbeans
25.97,48.05,30.83,29.72,75.2,5.14,61.39,blackgram
32.02,25.45,72.56,33.89,93.08,5.76,183.59,pomegranate
31.06,16.82,40.16,25.54,94.84,6.68,140.13,pomegranate
11.4,22.97,73.1,18.54,93.38,7.09,123.69,pomegranate
121.01,53.08,54.28,41.73,66.15,6.42,98.76,cotton
70.85,68.43,58.55,24.94,94.59,6.33,215.35,jute
24.1,45.89,175.91,11.39,90.15,6.82,101.3,apple
23.91,33.62,154.85,13.7,93.51,6.69,162.91,apple
72.27,54.26,57.97,35.34,92.47,6.64,221.41,jute
100.87,12.97,47.68,37.44,87.25,6.84,61.76,watermelon
131.5,63.82,28.36,29.5,82.18,7.8,108.82,cotton
22.09,21.43,11.34,12.91,92.98,6.41,107.96,orange
108.39,109.35,42.01,26.45,93.01,5.92,118.43,banana
38.65,80.9,81.98,16.15,34.02,6.69,108.28,kidneybeans
2.1,23.55,13.46,18.61,90.31,6.4,176.84,orange
37.84,47.72,48.1,30.58,33.52,3.95,72.87,mothbeans
13.87,31.6,32.02,33.97,60.68,7.08,115.71,mango
106.7,10.51,74.86,31.15,83.43,5.71,93.95,watermelon
29.33,58.76,42.41,27.06,65.9,5.33,84.24,blackgram
122.52,55.87,57.88,40.07,56.2,6.66,83.53,cotton
12.62,85.23,65.12,28.53,67.8,5.06,90.94,pigeonpeas
36.38,38.97,36.83,29.42,50.21,6.86,180.8,mango
103.02,14.93,67.61,35.71,90.21,6.68,36.59,muskmelon
66.84,52.78,47.49,36.37,89.49,6.35,186.11,jute
14.33,32.77,40.01,38.59,54.4,6.79,115.62,mango
116.35,100.42,67.06,29.51,79.6,6.63,147.42,banana
88.45,22.53,47.15,38.43,83.97,5.87,94.84,watermelon
19.04,83.93,81.89,19.5,41.78,5.57,116.12,kidneybeans
28.68,120.8,193.64,26.18,84.75,6.08,84.71,grapes
32.71,64.14,56.93,25.88,45.1,5.99,78.85,pigeonpeas
119.95,23.59,22.18,17.82,99.42,6.49,248.24,coffee
30.29,35.76,49.25,34.05,55.52,5.71,179.41,mango
35.5,39.88,60.33,25.59,90.93,5.51,150.91,pomegranate
12.15,76.39,82.45,25.16,37.38,6.05,88.72,kidneybeans
38.82,67.88,108.06,29.92,40.78,6.97,102.78,kidneybeans
53.98,41.35,42.02,28.78,72.18,7.32,73.28,blackgram
116.6,69.46,63.7,27.97,84.89,6.42,273.45,coffee
35.8,88.91,72.71,24.16,28.13,5.62,78.33,chickpea
47.95,30.34,46.3,38.42,93.77,6.11,146.78,papaya
2.17,48.17,161.16,23.06,92.13,6.98,155.41,apple
19.9,26.33,164.02,18.28,91.21,5.76,152.98,apple
77.39,57.39,84.57,31.59,70.84,6.04,95.41,maize
95.34,16.09,66.67,28.55,85.86,6.38,94.57,watermelon
67.27,35.5,39.13,27.87,86.48,5.94,241.78,rice
23.25,69.78,24.69,37.84,79.66,6.98,86.38,blackgram
142.62,60.26,42.47,29.74,61.3,7.55,84.32,cotton
22.9,86.92,81.02,19.59,43.25,6.17,111.94,kidneybeans
17.95,30.16,31.04,25.82,50.12,7.5,178.25,mango
17.57,90.2,88.42,26.84,32.94,6.66,86.25,chickpea
10.13,66.68,98.52,25.0,48.91,6.64,118.03,kidneybeans
37.83,42.83,51.12,35.34,32.91,5.8,38.21,mothbeans
18.13,63.91,55.98,37.04,81.06,6.35,77.24,mungbean
15.64,74.22,101.35,21.08,14.14,6.64,61.41,chickpea
28.59,86.01,76.08,11.23,34.3,6.19,62.33,chickpea
37.11,18.2,45.75,32.25,86.71,7.33,205.35,coconut
23.31,27.45,14.31,12.1,92.41,6.77,182.92,orange
23.59,38.37,43.54,28.83,55.65,6.11,100.23,mango
111.13,69.99,22.72,39.52,61.7,6.16,103.75,cotton
39.08,61.34,21.86,20.09,27.15,6.24,56.32,lentil
11.64,78.92,36.78,25.48,83.04,6.43,30.07,mungbean
36.3,99.85,84.73,18.97,32.77,6.83,83.72,chickpea
17.25,54.71,42.22,24.56,41.41,4.9,36.84,mothbeans
26.06,68.61,70.48,14.82,39.37,6.7,98.38,chickpea
30.81,70.84,49.64,22.73,88.76,6.74,44.12,mungbean
13.68,10.6,17.94,24.28,94.77,6.78,181.91,orange
147.73,35.14,46.39,33.15,55.77,7.85,102.59,cotton
30.59,62.79,77.0,27.84,25.27,6.76,91.17,kidneybeans
114.33,103.79,54.39,35.31,82.82,5.59,170.16,banana
96.23,76.77,79.1,37.8,87.46,6.4,122.73,banana
10.76,73.56,30.34,32.67,89.7,6.64,41.75,mungbean
94.67,40.43,59.41,27.22,90.62,6.35,25.5,muskmelon
34.9,22.47,35.17,37.87,70.08,6.4,143.67,mango
10.8,42.76,60.58,30.86,55.27,5.93,30.41,mothbeans
93.46,47.46,57.29,34.69,88.59,6.44,156.56,jute
23.49,186.95,220.06,44.97,81.43,5.92,66.18,grapes
77.32,61.09,47.31,33.76,94.52,6.31,232.89,jute
126.49,42.87,18.38,42.5,79.08,6.28,98.84,cotton
50.91,47.11,40.32,31.92,78.94,5.97,62.65,blackgram
89.13,25.27,66.15,25.22,93.02,6.93,54.01,muskmelon
15.22,20.12,30.36,30.41,66.5,6.74,162.98,mango
79.22,53.15,67.26,34.77,54.27,6.5,97.09,maize
62.69,67.47,70.38,28.56,51.37,7.24,118.41,maize
11.16,135.53,217.56,42.59,84.17,6.76,76.22,grapes
39.55,27.56,56.85,34.25,85.17,7.68,158.3,coconut
92.59,52.4,86.84,27.31,74.52,6.4,98.61,maize
29.32,61.43,21.64,23.99,37.46,6.57,38.65,lentil
28.81,62.94,55.69,24.76,42.34,5.38,96.45,pigeonpeas
75.85,72.75,80.88,20.62,74.47,5.95,73.43,maize
11.89,15.62,30.65,35.89,71.7,5.77,181.97,mango
32.37,68.1,108.32,17.36,22.5,5.72,72.22,chickpea
22.98,67.87,22.42,29.09,33.63,6.88,63.14,lentil
15.21,21.2,56.7,24.61,93.28,7.06,140.06,pomegranate
36.92,23.16,49.36,27.06,93.58,5.69,127.05,pomegranate
10.78,42.7,48.6,39.56,44.55,4.81,74.44,mothbeans
24.9,71.37,75.35,24.44,19.74,6.62,92.7,kidneybeans
16.84,68.48,94.44,18.22,35.84,6.85,74.14,chickpea
20.0,61.36,30.7,27.56,65.19,6.35,94.05,blackgram
90.3,31.76,69.58,33.68,91.96,6.12,51.23,muskmelon
86.82,85.38,53.88,31.48,94.54,6.23,179.4,banana
23.38,49.26,58.22,26.96,46.94,4.11,33.19,mothbeans
67.01,77.43,72.56,24.51,65.57,5.59,69.98,maize
20.03,66.12,43.78,32.78,76.25,5.38,78.33,blackgram
12.53,39.54,43.33,28.57,67.57,5.72,196.24,mango
13.63,76.76,100.05,16.07,20.57,6.03,117.67,kidneybeans
84.5,47.36,47.34,28.04,84.07,6.07,129.47,watermelon
68.89,17.62,57.69,26.43,91.95,6.74,138.64,papaya
25.36,20.51,23.83,32.08,92.48,6.47,175.37,orange
27.42,37.86,39.93,37.49,63.38,6.92,170.51,mango
99.0,105.92,61.0,35.61,81.3,6.17,112.34,banana
69.97,42.31,52.67,23.43,81.15,5.93,174.18,rice
32.47,141.79,188.23,17.32,84.6,6.37,92.34,grapes
27.92,10.21,187.41,22.58,90.7,5.64,142.46,apple
29.7,35.11,54.93,37.24,91.07,6.05,115.07,pomegranate
32.96,66.87,63.69,27.12,45.99,4.66,30.46,mothbeans
23.34,46.33,42.57,24.72,72.39,6.11,73.38,blackgram
39.3,69.37,48.04,19.55,34.33,7.15,57.67,lentil
35.55,35.91,38.14,36.2,54.32,5.52,92.2,mango
21.75,18.72,22.6,18.51,91.51,6.87,149.81,orange
14.29,67.68,36.19,27.05,88.96,6.4,55.39,mungbean
93.17,11.69,59.85,32.71,81.68,6.64,148.49,watermelon
80.79,60.11,84.87,25.33,57.46,6.73,102.41,maize
97.78,20.25,47.62,34.72,80.0,6.71,57.92,watermelon
23.35,29.99,55.06,36.83,92.35,5.31,145.49,coconut
1.62,20.33,20.09,13.74,90.52,6.19,110.1,orange
29.18,17.07,44.27,37.98,53.8,7.23,155.29,mango
70.63,27.65,68.66,32.73,91.06,6.63,197.6,papaya
106.78,48.83,47.03,33.55,84.24,6.17,75.41,watermelon
127.89,56.05,21.93,36.52,60.48,7.5,76.95,cotton
22.08,22.05,173.17,14.99,90.86,6.61,130.26,apple
32.94,59.95,36.7,28.8,67.02,5.24,93.26,blackgram
111.14,15.24,64.04,24.55,84.98,5.73,68.29,watermelon
86.25,51.55,73.46,39.2,96.11,6.38,228.87,jute
71.7,49.67,57.52,28.92,99.7,6.81,166.47,jute
133.79,68.41,26.42,42.0,82.72,7.34,106.56,cotton
12.46,77.26,74.85,27.47,64.88,6.46,68.38,pigeonpeas
5.44,38.48,169.25,10.06,93.92,6.94,112.67,apple
81.25,46.22,49.12,30.89,94.64,6.27,198.44,rice
26.55,14.43,19.27,21.76,94.37,7.14,151.31,orange
21.75,76.5,97.82,10.06,30.11,6.03,91.77,chickpea
84.44,56.14,33.38,25.66,99.91,6.04,220.96,coffee
92.39,57.64,80.45,30.92,67.87,6.44,84.71,maize
33.13,23.23,42.28,36.85,82.44,7.99,123.77,coconut
95.67,49.46,33.78,17.28,95.49,6.47,165.07,coffee
12.2,63.58,69.56,27.74,63.71,6.83,75.53,pigeonpeas
84.97,53.51,88.19,28.67,60.05,5.78,107.64,maize
105.01,67.29,31.85,22.94,66.62,7.2,85.68,cotton
22.06,46.15,47.18,24.99,89.21,6.78,59.64,mungbean
80.87,19.33,70.29,33.38,93.91,6.75,22.02,muskmelon
108.64,44.31,28.08,35.75,82.08,7.92,92.68,cotton
22.79,38.18,57.14,25.88,92.2,6.38,163.2,pomegranate
10.42,27.01,48.65,34.66,74.68,5.53,149.62,mango
22.33,34.78,190.15,10.8,93.93,6.19,194.1,apple
21.17,24.41,46.64,31.65,88.49,6.1,287.23,coconut
13.87,78.26,58.15,25.04,42.83,5.86,99.33,pigeonpeas
14.3,56.74,45.55,24.62,26.26,6.41,59.57,mothbeans
64.7,60.69,56.35,27.3,88.06,6.08,219.54,jute
36.45,195.35,231.77,11.2,83.35,6.12,87.95,grapes
102.03,76.13,69.12,34.0,93.28,6.65,197.54,banana
87.39,34.88,57.33,32.34,94.25,6.59,242.01,rice
31.46,64.08,49.92,24.42,78.46,6.56,98.94,blackgram
36.93,28.93,41.92,29.39,85.6,6.0,135.23,coconut
53.21,33.81,74.89,25.95,91.93,6.16,169.54,papaya
21.29,37.7,40.9,28.32,71.07,6.82,198.8,mango
18.09,47.64,50.84,23.94,85.95,6.46,63.1,mungbean
25.61,14.84,27.53,10.48,93.66,7.4,165.72,orange
25.88,50.28,45.94,26.17,66.24,6.21,72.1,blackgram
36.44,126.23,229.48,42.04,81.35,6.06,94.82,grapes
35.05,97.44,79.68,25.93,69.73,5.31,70.14,pigeonpeas
53.94,17.17,65.88,34.29,92.48,6.43,195.6,papaya
99.55,35.77,76.73,30.1,93.83,6.6,57.08,muskmelon
21.15,67.8,53.43,32.81,63.1,6.94,90.94,pigeonpeas
123.69,46.58,52.9,26.52,55.17,7.3,70.12,cotton
25.65,81.58,65.53,18.18,40.05,5.2,64.06,pigeonpeas
91.6,64.54,51.62,29.44,98.72,6.16,154.22,jute
7.01,20.54,151.89,3.08,94.93,5.97,111.53,apple
29.29,87.77,90.51,19.58,24.8,5.55,92.16,kidneybeans
44.23,36.59,51.45,28.98,94.68,6.02,143.78,papaya
37.59,79.73,31.35,33.7,83.72,6.59,67.71,mungbean
35.03,49.13,54.07,37.98,26.84,6.61,40.96,mothbeans
62.09,40.31,40.89,24.13,82.21,6.24,172.12,jute
48.59,30.67,69.44,36.14,94.65,6.38,146.37,papaya
23.54,17.68,42.97,37.77,81.33,7.77,196.05,coconut
16.01,43.4,65.28,28.14,34.96,6.86,48.95,mothbeans
35.24,78.85,109.16,24.51,22.04,6.51,93.0,kidneybeans
27.83,79.87,109.51,12.73,32.07,6.11,77.13,chickpea
119.32,95.71,68.71,39.65,84.43,6.7,143.45,banana
19.8,20.49,41.93,28.39,50.8,6.97,158.82,mango
30.67,95.8,70.98,32.7,48.71,5.61,91.32,pigeonpeas
19.62,127.48,209.9,12.76,84.74,6.21,77.21,grapes
14.2,20.26,37.27,29.03,80.97,7.29,185.49,coconut
12.15,12.83,63.31,19.14,91.68,6.78,129.43,pomegranate
99.08,35.69,41.53,33.94,87.78,6.25,85.75,watermelon
38.16,11.08,30.37,34.27,84.34,5.76,166.18,coconut
93.37,42.72,41.53,37.93,85.13,6.1,99.72,watermelon
73.59,71.74,61.96,23.36,66.18,7.08,79.13,maize
24.79,24.16,39.81,37.55,74.96,6.31,126.66,mango
10.45,24.2,17.28,30.83,92.27,7.08,110.75,orange
113.95,30.46,68.27,27.08,93.44,6.27,53.28,muskmelon
14.54,69.01,80.04,27.01,28.59,6.29,64.59,chickpea
15.37,61.77,48.43,17.12,33.85,6.16,69.25,lentil
15.92,12.93,33.34,38.78,74.64,6.21,162.14,mango
109.76,106.77,56.95,30.13,99.04,6.17,148.9,banana
103.21,46.16,52.81,34.72,81.88,6.44,83.65,watermelon
18.67,65.63,54.7,30.79,66.19,5.82,66.78,pigeonpeas
29.9,40.03,182.24,8.88,90.25,5.55,155.42,apple
52.97,51.91,24.69,34.33,70.41,6.68,70.83,blackgram
53.79,52.94,31.37,36.81,68.77,7.11,79.36,blackgram
68.39,48.02,49.78,39.92,92.6,6.27,177.66,papaya
88.23,99.66,61.87,38.27,88.85,6.3,119.55,banana
85.11,51.27,45.64,35.35,97.09,6.69,151.79,jute
56.74,27.63,65.37,40.49,90.17,6.59,118.67,papaya
121.39,43.23,19.06,34.5,69.37,6.21,90.62,cotton
130.48,44.71,33.7,40.97,64.3,7.89,68.98,cotton
88.02,45.56,52.89,24.21,94.22,6.94,46.22,muskmelon
107.67,96.45,41.54,30.52,99.48,6.13,150.19,banana
68.72,39.71,42.03,29.42,91.37,6.55,114.45,papaya
20.84,65.86,52.73,38.65,42.43,4.9,67.52,mothbeans
71.48,68.51,89.44,28.74,57.79,6.77,92.4,maize
118.8,104.6,64.03,35.51,82.13,6.45,145.56,banana
4.01,10.96,25.51,24.27,93.8,6.22,157.18,orange
37.19,69.98,80.88,25.19,25.69,6.67,62.61,chickpea
6.6,15.64,18.87,14.28,94.37,7.06,108.52,orange
15.17,28.04,68.49,24.98,92.7,6.67,142.13,pomegranate
99.04,49.67,70.82,27.37,85.01,5.85,90.96,watermelon
18.9,52.32,25.1,16.9,17.21,6.78,39.83,lentil
25.13,57.35,40.8,33.81,76.3,7.18,80.0,blackgram
32.64,68.0,46.6,37.38,49.15,6.54,69.85,mothbeans
31.08,71.92,74.21,26.73,38.61,5.57,94.4,kidneybeans
25.44,41.92,50.69,33.62,44.46,4.92,51.45,mothbeans
44.26,29.67,70.74,29.43,91.35,6.24,199.17,papaya
11.99,38.59,51.27,26.4,90.46,5.69,172.67,pomegranate
2.93,10.3,13.22,34.9,90.9,6.75,184.84,orange
135.49,31.91,33.35,37.92,61.81,7.59,91.54,cotton
112.67,35.03,27.48,17.94,89.37,6.21,193.33,coffee
81.71,38.6,47.72,20.46,80.56,6.73,204.03,rice
64.95,10.23,47.45,26.99,91.82,6.5,104.34,papaya
